paragraph_index,original_iast,run_count
4,"tad eva sad-ācāreṇa draḍhayati—tasmād iti | he bhagavan ! tava śuklāṁ tanuṁ śrī-nārāyaṇākhyām | atha tāvakānāṁ ca śuklāṁ tanuṁ narākhyām | yad yasmāt sātvatāḥ sattvam eva puruṣasyeśvarasya rūpam uśanti manyante, na tv anyad rajas tamaś ceti | atra hetuḥ, yataḥ sattvāl loko vaikuṇṭḥākhyo lokatve saty apy abhayaṁ ca bhoge saty apy ātma-sukhaṁ ca | [bhā.dī. 12.8.45-46] ity eṣā ||",2
5,tad etat teṣām eva svārasyāntarādinā tyajati—bhagavad-vigraham iti |,4
6,"atha śrī-bhagavad-āvirbhāve dvitīya-skandha-prakaraṇa-samāptāv asya vākyasya cūrṇikātaḥ prāg idaṁ vicāryam | tatrādvaita-vādina evaṁ vadanti—sajātīya-vijātīya-svagata-bheda-rahitaṁ jñānam eva paraṁ tattvam iti | vadanti [bhā.pu. 1.2.11] ity ādāv advaya-padena labhyate, tac ca bhāva-sādhanam | tarhy eva tasyādvaya-viśeṣa-labdhena sajātīyādi-bheda-rāhityenānantatvaṁ satyam upapadyate | anyathā kāraka-sādhane jñeya-jñāna-tat-sādhanaiḥ pravibhāge sāntatvam eva syāt | tathā kartṛ-sādhane jñānasya kartṛtayā vikriyamāṇasya karaṇādi-sādhane ca vāsyādivad jaḍatayā pratipannasyāsatyatvam eva ca syāt | tasmāj jñapty-avabodha-paryāyaṁ taj jñānaṁ nāma tattvaṁ śaktimad iti na yujyate | ",3
13,"śaktiś ca kāraṇasya kārya-niyamārthā kalpyamānā nānyā asatī vā kāryaṁ niyacchet, asattvāviśeṣād anyatvāviśeṣāc ca | tasmāt kāraṇasyātma-bhūtā śaktiḥ, śakteś cātma-bhūtaṁ kāryam | [śaṅkara-bhāṣya 2.3.18] iti | ",5
15,ata eva kasmād ucyate brahma “bṛṁhati bṛṁhayati ca” iti | bṛhattvād bṛṁhaṇatvāc ca yad brahma paramaṁ viduḥ iti viṣṇu-purāṇaṁ ca bṛṁhaṇatvena śaktimattvaṁ darśayati | tat-sannidhāna-balenaiva tathātathā-bhāve’nyeṣām aṅgīkṛte’pi śaktir eva paryavasyatīti |,3
16,pravṛtteś ca [ve.sū. 2.2.2] ity atrādvaita-śārīraka-kṛtāpi—,2
17,"nanu tava dehādi-saṁyuktasyāpy ātmano vijñāna-svarūpa-mātravyatirekeṇa pravṛtty-anupapatter anupapannaṁ pravartakatvam iti cet, na | ayaskāntavad rūpādivac ca pravṛtti-rahitasyāpi pravartakatvopapatteḥ || iti |",3
20,"asaty api karmaṇi savitā prakāśate iti kartṛtva-vyapadeśa-darśanāt, evam asaty api jñāna-karmaṇi brahmaṇaḥ tad aikṣata iti kartṛtva-vyapadeśopapatter na vaiṣamyam || [śāṅkara-bhāṣya 1.1.5] iti |",4
21,tathā tadīya-sahasra-nāma-bhāṣye—svarūpa-sāmarthyena na cyuto na cyavate na cyaviṣyata ity acyutaḥ | śāśvataṁ śivam acyutam iti śruter iti |,3
22,"tasmād vastunaḥ śaktiḥ kārya-pūrvottara-kāle’pi mantrāder ivāsty eva, kārya-kālaṁ prāpya tu vyaktībhavatīty eva viśeṣaḥ | tad brahmaṇo’pi bhaviṣyati | evam advaita-śārīrake’py uktam— viṣayābhāvād iyam acetayamānatā, na caitanyābhāvād iti [śāṅkara-bhāṣya 2.3.18] iti |",3
32,nirviśeṣa-vastu-vādibhir nirviśeṣa-vastunīdaṁ pramāṇam iti na śakyate vaktum | sa-viśeṣa-vastu-viṣayatvāt sarva-pramāṇānāṁ [śrī-bhāṣyaḥ] ,2
34,"yas tu svānubhava-siddhaṁ nirviśeṣatvam iti sva-goṣṭhī-niṣṭha-samayaḥ, so’py ātma-sākṣika-sa-viśeṣānubhavād eva nirastaḥ || [śrī-bhāṣyaḥ]",2
36,"śabdasya tu viśeṣeṇa sa-viśeṣa eva vastuny abhidhāna-sāmarthyaṁ, pada-vākya-rūpeṇa pravṛtteḥ | prakṛti-pratyaya-yogena hi padatvam | prakṛti-pratyayayor artha-bhedena padasyaiva viśiṣṭārtha-pratipādanam avarjanīyam | pada-bhedaś cārtha-bheda-nibandhanaḥ | pada-saṅghāta-rūpasya vākyasyāneka-padārtha-saṁsarga-viśeṣābhidhāyitvena nirviśeṣa-vastu-pratipādanāsāmarthyāt na nirviśeṣa-vastuni śabdaḥ pramāṇam || [śrī-bhāṣyaḥ] iti ||
",4
37,"tasmāt sa-viśeṣatvam eva siddham, sa ca viśeṣaḥ śaktir eva | tataś ca śakti-leśaṁ vinā na kvacid avagamyate vastu-tattvam iti sarvānubhava-siddham | śrutiś ca kevalasyaiva tasya svānubhavam abhidadhāti—brahma vā idam agra āsīt tad ātmānam avaidahaṁ brahmāsmi [bṛ.ā.u. 1.4.10] iti | ",3
38,"na hi draṣṭur dṛṣṭer viparilopo vidyate’vināśitvān, na tu tad dvitīyam asti | tato’nyad vibhaktaṁ yat paśyet || [bṛ.ā.u. 4.3.23] iti | ",2
39,"atra śrī-madhvācāryānusṛtaṁ vyākhyānam—ubhaya-vyapadeśāt tv ahi-kuṇḍalavat [ve.sū. 3.2.27] iti, satyaṁ jñānam anantaṁ brahma [tai.u. 2.1.2], yaḥ sarvajñaḥ [mu.u. 1.1.9], eṣa evātmā paramānandaḥ [bṛ.chā.maitreyaḥ], ānandaṁ brahmaṇo vidvān [tai.u. 2.4] ity-ādāv ubhaya-vyapadeśāt yujyate brahmaṇo jñānāditvaṁ jñānādimattvaṁ ca | tu-śabdaḥ śrutir evātra pramāṇam iti nirdhārayati | ataḥ svasminn evābheda-bheda-nirdeśa-lakṣaṇobhaya-vyapadeśād ahi-kuṇḍalavat tvaṁ bhavitum arhati, yathā ahir ity abhedaḥ, kuṇḍalābhoga-prāṁśutvādibhir bheda evam ihāpi |",11
40,"prakāśāśravad vā tejastvāt [ve.sū. 3.2.28] ity atra, ",2
41,"athavā prakāśāśrayavad eva tat-pratipattavyam | yathā, prakāśaḥ sāvitras tad-āśrayaḥ savitā ca nātyanta-bhinnau, ubhayor api tejastvāviśeṣāt | atha ca bheda-vyapadeśa-bhājau bhavataḥ—evam ihāpīti || [śāṅkara-bhāṣya]",2
42,"pūrvavad vā [ve.sū. 3.2.29] iti, athavā svātmanā cottarayoḥ [ve.sū. 2.3.20] ity atrottara-śabdavad anantaram evottarayoḥ prakāśāśrayayoḥ, pūrvo yaḥ prakāśaḥ tadvad va mantavyam | tataś ca tasya yathā prakāśaika-rūpatve’pi sva-para-prakāśana-śaktitvam upalabhyate evaṁ jñānānanda-svarūpasya brahmaṇo’pi sva-para-jñānānanda-hetu-rūpa-śaktitvam |",2
43,atra svayaṁ svaṁ jānātīti svārthā ca sphūrtir iti na prakāśavat pārārthya-mātram iti vivektavyam | tad evam ubhaya-vyapadeśāt sādhayitvā śruty-antarataś ca sādhayati—pratiṣedhāc ca [ve.sū. 3.2.30] iti |,3
44,"na ca vaktavyaṁ tatra sarvajñatvādi-vastv-antaram, yato neha nānāsti kiñcana [bṛ.ā.u. 4.4.19] iti, tathā—",3
48,svābhāvikī jñāna-bala-kriyā ca || [śve.u. 6.8] iti |,2
49,"ca-kāreṇa tv ajñānādikaṁ pratiṣidhya svarūpa-jñānādi-śaktitvam eva sthāpyate | itthaṁ śrī-svāmi-caraṇair api, tvam arka-dṛk sarva-dṛśāṁ samīkṣaṇaḥ [bhā.pu. 8.24.50] ity atra śrī-matsya-deva-stutau vyākhyātam—",4
50,arka-prakāśavat svata eva dṛg jñānaṁ yasya so’rka-dṛk | ataḥ sarva-dṛśāṁ sarvendriyāṇāṁ samīkṣaṇaḥ prakāśakaḥ || iti |,2
51,evaṁ ca śrī-rāmānuja-caraṇair uktam—jñāna-svarūpasya ca tasya jñātṛ-svarūpatvaṁ maṇi-dyumaṇi-dīpādivad yuktam evety uktam || [śrī-bhāṣya],3
