paragraph_index,original_iast,run_count
6,"Śrī-brahma-sūtra-govinda-bhāṣyam, Hindi-bhāṣānuvada-sahitam. Sri-Baladeva-vidhyabhushana-mahodaya-viracitam. (ed.) Kusumasarovarawala Krishna Das Babaji. Sam. 2011 (AD 1955).",3
9,"Vedānta-darśanam. (ed.) Haridāsa Śāstrī. Vrindavana: Purana Kalidaha, n.d. (ca. 1980).",3
34,"prakṛtiḥ sattvādi-guṇa-sāmyāvasthā tamo-māyādi-śabda-vācyā tad-īkṣaṇāvāpta-sāmarthyā vicitra-jagaj-jananī | kālas tu bhūta-bhaviṣyad-vartamāna-yugapac-cira-kṣiprādi-vyavahāra-hetuḥ kṣaṇādi-parārdhāntaś-cakravat parivartamānaḥ pralaya-sarga-nimitta-bhūto jaḍa-dravya-viśeṣaḥ | īśvarādayaś catvāro’rthā nityāḥ—nityo nityānāṁ cetanaś cetanānām iti, gaur anādy-anantavatī iti, sad eva saymyedam agra āsīt iti śruteḥ | jīvādayas tu tad-vaśyāś ca –",9
36,sa viśva-kṛd viśvavid ātma-yonir ,2
37,jñaḥ kāla-kāro guṇī sarva-vidyaḥ |,2
38,pradhāna-kṣetrajña-patir guṇeśaḥ ,2
39,saṁsāra-mokṣa-sthiti-bandha-hetuḥ || iti śvetāśvatara-vacanāt |,2
43,bhakti-yogena manasi samyak praṇihite 'male |,2
44,apaśyat puruṣaṁ pūrṇaṁ māyāṁ ca tad-apāśrayam || ,2
45,yayā sammohito jīva ātmānaṁ tri-guṇātmakam |,2
46,paro 'pi manute 'narthaṁ tat-kṛtaṁ cābhipadyate ||,2
47,anarthopaśamaṁ sākṣād bhakti-yogam adhokṣaje |,2
48,lokasyājānato vidvāṁś cakre sātvata-saṁhitām || [bhā.pu. 1.7.4-6] iti |,2
50,dravyaṁ karma ca kālaś ca svabhāvo jīva eva ca |,2
51,yad-anugrahataḥ santi na santi yad-upekṣayā || iti caivam ādibhiḥ |,3
53,asya sūtrārthyatvaṁ ca smaryate—artho’yaṁ brahma-sūtrāṇām iti | ,3
61,"ity evaṁ sthite brahma-jijñāsādhikaraṇaṁ tâvat pravartate | yo vai bhūmā tat sukhaṁ nānyat sukham asti | bhūmaiva sukhaṁ bhūmā tv eva vijijñāsitavyaḥ [chā.u. 7.25.1] iti | ātmā vā are draṣṭavyaḥ śrotavyo mantavyo nididhyāsitavyo maitreyi [bṛ.ā.u. 2.4.5] iti ca śrūyate | nididhyāsitavyo jijñāsitavyaḥ | iti bhavati saṁśayaḥ | adhīta-vedasya puṁso dharmajñasya brahma-jijñāsā yuktā na yuktā veti ? apāmasomam amṛtā abhūma, akṣayyaṁ ha vai cāturmāsya-yājinaḥ sukṛtaṁ bhavatīty-ādiṣu dharmair amṛtatvāksayya-sukhatva-śravaṇān na yukteti pūrvasmin pakṣe prāpte bhagavān bādarāyaṇo vyāsaḥ prāripsitasya śāstrasyādimaṁ sūtram idam avatārayati—",6
63,athāto brahma-jijñāsā ||,2
69,ayam arthaḥ | āśrama-karmāṇi citta-śodhakatayā jñānāṅgāni bhavanti | tam etaṁ vedānuvacanena brāhmaṇā vividiṣanti yajñena dānena tapasānaśena [bṛ.ā.u. 4.4.] iti bṛhad-āraṇya-śruteḥ | satya-tapo-japādīni ca—satyena labhyas tapasā hy eṣa ātmā samyak jñānena brahmacaryeṇa nityam [mu.u. 3.1.5] iti muṇḍaka-śruteḥ | ,5
71,japyenaiva ca saṁsidhyed brāhmaṇo nātra saṁśayaḥ |,2
72,kuryād anyan na vā kuryān maitrau brāhmaṇa ucyate || [ma.smṛ. 2.87] ity-ādi-smṛteś ca |,2
76,tad viddhi praṇipātena paripraśnena sevayā |,2
77,upadekṣyanti te jñānaṁ jñāninas tattvadarśinaḥ || [gītā 4.34] iti smṛtibhyaś ca |,2
79,kāmya-karmāṇy anitya-phalāni tad yatheha karma-citto lokaḥ kṣīyate evam evāmutra puṇya-citto lokaḥ kṣīyate iti chāndogya-śruteḥ | brahmaiva tu jñānaika-gamyam | ,3
81,parīkṣya lokān karma-citān brahmaṇo ,2
82,nirvedam āyān nāsty akṛtaḥ kṛtena | ,2
83,tad vijñānārthaṁ sa gurum evābhigacchet ,2
84,samit-pāṇiḥ śrotriyaṁ brahma-niṣṭham || iti muṇḍaka-śruteḥ (1.2.12) |,2
86,"akṣayānanta-sukhaṁ ca satyaṁ jñānam anantaṁ brahma, ānando brahmeti vyajānād iti taittirīyakāt [tai.u. 2.1.1] | nitya-jñānādi-guṇakaṁ ca parāsya śaktir vividhaiva śrūyate svābhāvikī jñāna-bala-kriyā ca [śve.u. 6.8], sarvasya śaraṇaṁ suhṛt [śve.u. 3.7], bhāva-grāhyam anīḍākhyam [śve.u. 5.14] ity ādi śvetāśvatara-vacanāt | nitya-sukhadatvaṁ ca, taṁ pīṭhasthaṁ ye tu yajanti dhīrās teṣāṁ sukhaṁ śāśvataṁ netareṣāṁ iti gopālopaniṣad-ukteḥ |",13
91,oṁkāraś cātha-śabdaś ca dvāv etau brahmaṇaḥ purā |,2
92,kaṇṭhaṁ bhittvā vinirjātau tena māṅgalikāv ubhau || ,2
94,iti smṛter maṅgalam evātha-śabdārthaḥ | śāstrārambhe hi śiṣṭo vighna-nāśāya tad ācarantīti cen naivam | īśvarasya vighnāśaṅkā-virahāt | tasyeśvarasya tu—kṛṣṇa-dvaipāyanaṁ vyāsaṁ viddhi nārāyaṇaṁ prabhum || iti smṛteḥ | tathāpi maṅgalātmakatvāt tasmāt kambu-svanādivat tat sambhaved iti tenaiva loko’pi saṅgṛhītaḥ | tasmāt tādṛśasya puṁsas tad-anantaraṁ taj-jijñāsā yukteti | abindu-mastako yo’ṅkaḥ sūtrato vṛttito’pi saḥ | dvi-bindu-mastakas tv eva bodhyo’dhikaraṇāśritaḥ || 1 ||,3
96,"hds: 1.2.8-11, 1.1.1. ",2
103,"nanu pūrvatra bhūma-śabdena ca jīvam abhupetya brahma-śabdenāpi tam evāha | prāk prāṇa-prakriyayā pati-jāyādi-prīti-saṁsūcanayā ca tasyaiva pratyayatvāt bṛhaj-jāti-jīva-kamalāsana-śabda-rāśiṣv iti brahma-śabdasya ca tatra rūḍher ity etāṁ bhrāntiṁ apanetum ārambhaḥ | taittirīyake, bhṛgur vai vāruṇiḥ | varuṇaṁ pitaram upasasāra |",3
104,adhīhi bhagavo brahma ity upakramya paṭhante | ,2
