paragraph_index,original_text
2,With Govinda-bhāṣyam by Baladeva Vidyabhushan. 
8,"The Vedānta-sūtras of Bādarāyaṇa with the commentary of Baladeva. Translated by Srisa Chandra Vasu. New Delhi: Munshiram Manoharlal Publishers, 2002 (first published 1912).
"
11,"Brahma-sūtra o śrīmad-bhāgavata. (A treatise on Brahmasutra with the help of Srimad Bhagavata). (ed.) Ramapada Chattopadhyaya. Calcutta: Firma KLM, 1994."
13,"The third and fourth titles in this list are commentaries on the Vedanta by modern authors who have attempted to show the Bhagavata Purana as the “natural commentary on the Vedanta Sutras.” Ramapada Chattopadhyaya (rc) has quoted more extensively, but has left some sutras without any verses at all. Haridas Shastri (hds), on the other hand, has diligently found at least one related verse for each sutra. In this edition, only Haridas’s references to the Bhagavatam are cited after each sutra. The references of Haridas Shastri and Ramapada Chattopadhyaya have been concorded only for the 4th adhyāya. Haridas Shastri's numbers are more in conformity with the numbering in the GGM editions of the Bhagavatam. In most cases, however, (except for 9.4 and 11.2) RPD will only be one or two numbers off at most."
166,hds: 1.1.1 (janmādyasya yato’nvayād itarataś ca). 
185,hds: 1.1.1 (artheṣv abhijñaḥ svarāṭ)
2291,"rpc : 	5.11.12-14, 1.3.36, 11.11.6-7, 6.4.19, 11.11.1-4, 11.28.16, 11.24.7, 12.4.31-32, 3.27.11-12, 11.3.41, 11.28.35, 11.5.20, 11.2.34, 11.10.30, mana eva manuṣyāṇāṁ kāraṇaṁ bandha-mokṣayoḥ | bandhaye viṣayāsaktaṁ muktyai nirviṣayaṁ smṛtam || (brahma-bindūpaniṣat 2), 12.5.6, 4.29.76."
2354,"hds : 3.12.47, 2.5.15 (nārāyaṇa-paro vedaḥ), 2.10.36, 6.16.51"
3327,"rpc : 6.4.3, 10.14.54, 5.18.31, 10.87.22, 1.2.31, gītā 9.18, 10.23.27."
3587,"rpc: 11.3.6-13, 11.10.16, 22, 26-27; gītā 18.14-15."
4261,"rpc: 10.87.50, 11.25.29-31, nārāyaṇopaniṣad 34."
4484,"rpc: yajuḥ 2.6.9.49, bhā.pu. 11.5.11, 11.5.13. "
4740,"rpc : 8.5.15-16, 6.8.30, 10.14.18, pañcarātra—nirdoṣa-pūrṇa-guṇa-vigraha ātma-tantro niścetanātmaka-śarīra- guṇaiś ca hīnaḥ | ānanda-mātra-kara-pada-mukhodarādi sarvatra ca svagata-bheda-vivarjitātmā ||"
4768,"hds : 10.13.54-55, 1.1.1 (satyaṁ paraṁ dhīmahi)"
4909,"rpc : gītā 18.65-66, 18.61-62, bhā. 7.7.43-44, 3.29.11-12, bhakti-rasāyana 1.3, gītā 11.53-54, bhā. 11.14.19-20, 10.86.46-47, 3.9.11, 7.5.18-19, padyā. śrī-viṣṇoḥ śravaṇe, bhā. 12.11.7, 9.4.46-49, gītā 4.17-18. anicchaiva paraṁ padam akriyaiva parā pūjā | acintaiva paraṁ dhyānaṁ maunam eva paraṁ tapaḥ || (śaṅkara-dhṛtaḥ) "
4937,rpc : pūrva-sūtraṁ draṣṭavyam.
4958,"rpc : rā.tā.u. 1.7 (cinmayasyādvitīyasya niṣphalasyāśarīriṇaḥ | upāsakānāṁ kāryārthaṁ brahmaṇo rūpa-kalpanā ||), bhā. 3.9.11, 10.87.14, 10.87.46, 2.7.40, 8.5.18, 8.5.39, 10.6.7, 10.69.11-20, 10.69.42, bṛ.ā.u. 5.1.1, bhā. 10.14.28, 6.4.28-29, 8.5.38."
4980,"rpc : gītā 9.4-5, 7.9.29, 8.3.3, 8.3.23-24, 6.4.23, 6.9.39."
4989,"rpc : 10.14.56-57, brahma-purāṇa (ānandena tvad-abhinnena vyavahāraḥ prakāśavat | pūrvavat vā yathā-kālaḥ svāvacchedakatāṁ vrajet ||)"
5166,"hds : 8.23.15, 8.23.19, 3.2.33 (aho bakīyam)"
5196,"rpc : gītā 7.22, 3.9.8, 3.25.39, 4.11.2, 5.1.14, 10.87.24, 3.29.33, 8.3.26, 7.9.47, 11.10.33, 2.5.14, 2.10.12."
5230,"rpd : 10.87.31 (tvayi ta ime), 10.87.37 (yac chrutayas tvayi), 10.87.11 (bṛhad-upalabdham), 10.87.15 (atha vitathā…), 2.5.15-16, 2.5.25-26, 2.6.29, 11.21.41-42. 4.7.49-50, 10.87.11 (ata ṛṣayo dadhus)."
5231,"hds : 1.2.28 (vāsudeva-parā vedāḥ), 11.21.42-43"
5257,"rpd : vi.pu. 3.3.5-6, bhā. 12.6.39-44. "
5315,"rpd : rā.tā.u. 2.9-10, go.tā.u. 1.19, gītā 7.23, bhā. 10.40.1, 10.40.17-21, 11.2.35, 11.2.31, 11.6.9. "
5345,"rpd : 10.31.11, 10.31.13, 10.31.19, 10.47.17, 10.9.11, (śrī-nāthe jānakī-nāthe abhedaḥ paramātmani | tathāpi mama sarvasvo rāmaḥ kamala-locanaḥ ||), kṛ.ka. 3.94 (vihāya kodaṇḍa-śarān muhūrtaṁ gṛhāṇa pāṇau maṇi-cāru-veṇum | māyūra-barhaṁ ca nijottamāṅge sītā-pate tvāṁ praṇamāmi paścāt ||)"
5376,"rpd : 10.3.18, 10.9.13-14, 3.9.11, 10.69.42, 6.4.29, 4.3.21, 10.2.18, 10.2.16, 10.3.9, gītā 16.10, 16.19, 6.40; bhā. 4.29.76, 11.23.38-39, brahma-bindūpaniṣad 2 (mana eva manuṣyāṇāṁ kāraṇaṁ bandha-mokṣayoḥ | bandhāya viṣayāsaktaṁ muktyai nirviṣayaṁ smṛtam ||), mahopaniṣad 4.67 (manasā bhāvyamāno hi dehatāṁ yāti dehakaḥ | deha-vāsanayā mukto deha-dharmair na lipyate ||), bhā. 11.23.41, 11.23.43. "
5505,"rpc : śve.u. 5.14, 3.25.35, 8.24.31, 11.8.34, 12.8.34, 7.1.29, 7.1.25, 7.9.10."
5585,"rpd : gītā 13.8, bhā. 11.10.4."
5612,"rpd : 3.9.40, 11.29.30, 1.7.10, maitreyopaniṣad (antaḥ śūnyo bahiḥ śūnyaḥ śūnyo kumbha ivāmbare | antaḥ pūrṇo bahiḥ pūrṇaḥ pūrṇaḥ kumbha ivārṇave ||), kṛṣṇa-karṇāmṛta 107 (bhaktis tvayi…)"
