paragraph_index,original_iast,aksharamukha_output,sanscript_output
45,kṛṣṇa-varṇaṁ tviṣākṛṣṇaṁ sāṅgopāṅgāstra-pārṣadam |,कृष्णवर्णं त्विषाकृष्णं साङ्गोपाङ्गास्त्रपार्षदम् ।,कृष्णवर्णꣳ त्विषाकृष्णꣳ साङ्गोपाङ्गास्त्रपार्षदम् ।
48,sarva-saṁvādinī : śrī-kṛṣṇa-caitanya-candrāya namaḥ |,सर्वसंवादिनी : श्रीकृष्णचैतन्यचन्द्राय नमः ।,सर्वसꣳवादिनी : श्रीकृष्णचैतन्यचन्द्राय नमः ।
50,śrī-kṛṣṇaṁ namatā nāma sarva-saṁvādinī nāma |,श्रीकृष्णं नमता नाम सर्वसंवादिनी नाम ।,श्रीकृष्णꣳ नमता नाम सर्वसꣳवादिनी नाम ।
53,atha śrī-bhāgavata-sandarbha-nāmānaṁ grantham ārabhamāṇo mahā-bhāgavata-koṭi-bahir-antar-dṛṣṭi-niṣṭaṅkita-bhagavad-bhaviṣyat nijāvatāra-pracāra-pracārita-sva-svarūpa-bhagavat-pada-kamalāvalambi-durlabha-prema-pīyūṣa-maya-gaṅgā-pravāha-sahasraṁ sva-sampradāya-sahasrādhidaivaṁ śrī-kṛṣṇa-caitanya-deva-nāmānaṁ śrī-bhagavantaṁ kali-yuge’smin vaiṣṇava-janopāsyatayāvatārasyārtha-viśeṣāliṅgitena śrī-bhāgavata-padya-saṁvādena stauti—kṛṣṇa-varṇam iti | ekādaśa-skandhe kali-yugopāsya-prasaṅge padyam idam | arthaś ca—tviṣā kāntyā yo’kṛṣṇo gauras taṁ kalau sumedhaso yajanti | gauratvaṁ cāsya—,अथ श्रीभागवतसन्दर्भनामानं ग्रन्थम् आरभमाणो महाभागवतकोटिबहिरन्तर्दृष्टिनिष्टङ्कितभगवद्भविष्यत् निजावतारप्रचारप्रचारितस्वस्वरूपभगवत्पदकमलावलम्बिदुर्लभप्रेमपीयूषमयगङ्गाप्रवाहसहस्रं स्वसम्प्रदायसहस्राधिदैवं श्रीकृष्णचैतन्यदेवनामानं श्रीभगवन्तं कलियुगेऽस्मिन् वैष्णवजनोपास्यतयावतारस्यार्थविशेषालिङ्गितेन श्रीभागवतपद्यसंवादेन स्तौति—कृष्णवर्णम् इति । एकादशस्कन्धे कलियुगोपास्यप्रसङ्गे पद्यम् इदम् । अर्थश् च—त्विषा कान्त्या योऽकृष्णो गौरस् तं कलौ सुमेधसो यजन्ति । गौरत्वं चास्य—,अथ श्रीभागवतसन्दर्भनामानꣳ ग्रन्थम् आरभमाणो महाभागवतकोटिबहिरन्तर्दृष्टिनिष्टङ्कितभगवद्भविष्यत् निजावतारप्रचारप्रचारितस्वस्वरूपभगवत्पदकमलावलम्बिदुर्लभप्रेमपीयूषमयगङ्गाप्रवाहसहस्रꣳ स्वसम्प्रदायसहस्राधिदैवꣳ श्रीकृष्णचैतन्यदेवनामानꣳ श्रीभगवन्तꣳ कलियुगेऽस्मिन् वैष्णवजनोपास्यतयावतारस्यार्थविशेषालिङ्गितेन श्रीभागवतपद्यसꣳवादेन स्तौति—कृष्णवर्णम् इति । एकादशस्कन्धे कलियुगोपास्यप्रसङ्गे पद्यम् इदम् । अर्थश् च—त्विषा कान्त्या योऽकृष्णो गौरस् तꣳ कलौ सुमेधसो यजन्ति । गौरत्वꣳ चास्य—
55,āsan varṇās trayo hy asya gṛhṇato’nuyugaṁ tanuḥ |,आसन् वर्णास् त्रयो ह्य् अस्य गृह्णतोऽनुयुगं तनुः ।,आसन् वर्णास् त्रयो ह्य् अस्य गृह्णतोऽनुयुगꣳ तनुः ।
56,	śuklo raktas tathā pīta idānīṁ kṛṣṇatāṁ gataḥ || [bhā.pu. 10.8.13],	शुक्लो रक्तस् तथा पीत इदानीं कृष्णतां गतः ॥ [भा.पु. १०.८.१३],	शुक्लो रक्तस् तथा पीत इदानीꣳ कृष्णताꣳ गतः ॥ [भा.पु. १०.८.१३]
58,ity ataḥ pāriśeṣya-pramāṇa-labdham | idānīm etad avatārāspadatvenābhikhyāte dvāpare kṛṣṇatāṁ gata ity ukteḥ śukla-raktayoḥ satya-tretā-gatatvenaikādaśa eva varṇitatvāc ca | pītasyātītatvaṁ prācīna-tad-avatārāpekṣayā | uktaṁ caikādaśe dvāparopāsyatvaṁ śrī-kṛṣṇasya śyāmatva-mahārājatva-vāsudevādi-caturmūrtitva-lakṣaṇa-tal-liṅga-kathanena—,इत्य् अतः पारिशेष्यप्रमाणलब्धम् । इदानीम् एतद् अवतारास्पदत्वेनाभिख्याते द्वापरे कृष्णतां गत इत्य् उक्तेः शुक्लरक्तयोः सत्यत्रेतागतत्वेनैकादश एव वर्णितत्वाच् च । पीतस्यातीतत्वं प्राचीनतदवतारापेक्षया । उक्तं चैकादशे द्वापरोपास्यत्वं श्रीकृष्णस्य श्यामत्वमहाराजत्ववासुदेवादिचतुर्मूर्तित्वलक्षणतल्लिङ्गकथनेन—,इत्य् अतः पारिशेष्यप्रमाणलब्धम् । इदानीम् एतद् अवतारास्पदत्वेनाभिख्याते द्वापरे कृष्णताꣳ गत इत्य् उक्तेः शुक्लरक्तयोः सत्यत्रेतागतत्वेनैकादश एव वर्णितत्वाच् च । पीतस्यातीतत्वꣳ प्राचीनतदवतारापेक्षया । उक्तꣳ चैकादशे द्वापरोपास्यत्वꣳ श्रीकृष्णस्य श्यामत्वमहाराजत्ववासुदेवादिचतुर्मूर्तित्वलक्षणतल्लिङ्गकथनेन—
62,taṁ tadā puruṣaṁ martyā mahā-rājopalakṣaṇam |,तं तदा पुरुषं मर्त्या महाराजोपलक्षणम् ।,तꣳ तदा पुरुषꣳ मर्त्या महाराजोपलक्षणम् ।
63,yajanti veda-tantrābhyāṁ paraṁ jijñāsavo nṛpa ||,यजन्ति वेदतन्त्राभ्यां परं जिज्ञासवो नृप ॥,यजन्ति वेदतन्त्राभ्याꣳ परꣳ जिज्ञासवो नृप ॥
65,pradyumnāyāniruddhāya tubhyaṁ bhagavate namaḥ || [bhā.pu. 11.5.27-29] iti |,प्रद्युम्नायानिरुद्धाय तुभ्यं भगवते नमः ॥ [भा.पु. ११.५.२७-२९] इति ।,प्रद्युम्नायानिरुद्धाय तुभ्यꣳ भगवते नमः ॥ [भा.पु. ११.५.२७-२९] इति ।
