paragraph_index,original_iast,run_count
46,yajñaiḥ saṅkīrtana-prāyair yajanti hi sumedhasaḥ ||1|| [bhā.pu. 11.5.32],2
48,sarva-saṁvādinī : śrī-kṛṣṇa-caitanya-candrāya namaḥ |,2
56,	śuklo raktas tathā pīta idānīṁ kṛṣṇatāṁ gataḥ || [bhā.pu. 10.8.13],2
65,pradyumnāyāniruddhāya tubhyaṁ bhagavate namaḥ || [bhā.pu. 11.5.27-29] iti |,2
72,anupraviśya kurute vāsudevo jagat-sthitim || [vi.dha. 104] ity-ādi |,4
76,"tad etad-āvirbhāvatvaṁ tasya svayam eva viśeṣaṇa-dvārā vyanakti—kṛṣṇa-varṇam | kṛṣṇety etau varṇau yatra yasmin śrī-kṛṣṇa-caitanya-deva-nāmni śrī-kṛṣṇatvābhivyañjakaṁ kṛṣṇeti varṇa-yugalaṁ prayuktam astīty arthaḥ | tṛtīye śrīmad-uddhava-vākye—samāhutāh[bhā.pu. 3.3.3] ity-ādi-padye, śriyaḥ savarṇena ity atra [śrīdhara-svāmi-pāda-kṛtāyāṁ] ṭīkāyām, “śriyo rukmiṇyāḥ samānaṁ varṇa-dvayaṁ vācakaṁ yasya sa śriyaḥ sa-varṇo rukmī” ity api dṛśyate | ",6
86,"tam evaṁ-bhūtaṁ kair yajanti ? yajñaiḥ pūjā-sambhāraiḥ | na yatra yajñeśa-makhā mahotsavāḥ [bhā.pu. 5.19.23] ity ukteḥ | tatra ca viśeṣaṇena tam evābhidheyaṁ vyanakti—saṅkīrtanaṁ bahubhir militvā tad-gāna-sukhaṁ śrī-kṛṣṇa-gānam, tat-pradhānaiḥ | tathā saṅkīrtana-prādhānyasya tad-āśriteṣv asakṛd eva darśanāt sa evātrābhidheya iti spaṣṭam ||1|| ",3
88,baladevaḥ : śrī-kṛṣṇo jayati | ,2
115,"śrī-bādarāyaṇo bhagavān vyāso brahma-sūtrāṇi prakāśya tad-bhāṣya-bhūtaṁ śrī-bhāgavatam āvirbhāvya śukaṁ tad-adhyāpitavān | tad-arthaṁ nirṇetu-kāmaḥ śrī-jīvaḥ pratyūha-kulācala-kuliśaṁ vāñchita-pīyūṣa-balāhaka-sveṣṭa-vastu-nirdeśaṁ maṅgalam ācarati kṛṣṇeti | nimi-nṛpatinā pṛṣṭaḥ karabhājano yogī satyādi-yugāvatārānuktvā’tha kalāv api tathā śṛṇu [bhā.pu. 11.5.31] iti tam avadhāpyāha—kṛṣṇa-varṇam iti | sumedhaso janāḥ kalāv api hariṁ bhajanti | kaiḥ ? ity āha saṅkīrtana-prāyair yajñaiḥ arcanair iti | kīdṛśaṁ tam ? ity āha—kṛṣṇo varṇo rūpaṁ yasyāntar iti śeṣaḥ | tviṣā kāntyā tv akṛṣṇam | śuklo raktas tathā pītaḥ idānīṁ kṛṣṇatāṁ gataḥ [bhā.pu. 10.8.13] iti gargokti-pāriśeṣya-vidyud-gauram ity arthaḥ | aṅge nityānandādvaitau | upāṅgāni śrīvāsādayaḥ | astrāṇi avidyā-cchettṛtvād bhagavan-nāmāni | pārṣadān gadādhara-govindāyaḥ | taiḥ sahitam iti mahābalitvaṁ vyajyate | garga-vākye pīta iti prācīna-tad-avatārāpekṣayā | ayam avatāraḥ śveta-varāha-kalpa-gatāṣṭaviṁśa-vaivasvatam anvantarīya-kalau bodhyaḥ | tatratye śrī-caitanya evokta-dharma-darśanāt | anyeṣu kaliṣu kvacic chyāmatvena kvacic chuka-patrābhatvena vyakter ukteḥ | channaḥ kalau yad abhavaḥ [bhā.pu. 7.9.38] iti,śuklo raktas tathā pītaḥ [bhā.pu. 10.8.13] iti,kalāv api tathā śṛṇu [bhā.pu. 11.5.31] itica | ye vimṛśanti te sumedhasaḥ | channatvaṁ ca preyasī-tviṣāvṛtatvaṁ bodhyam | ",11
148,"tathā hi dvāpare vedeṣu samutsanneṣu saṅkīrṇa-prajñair brahmādibhir abhyarthito bhagavān puruṣottamaḥ kṛṣṇa-dvaipāyana-rūpeṇāvatīrya tān uddhṛtya vibabhāja | tad-artha-nirṇetrīṁ catur-lakṣaṇīṁ ca brahma-mīmāṁsām āviścakāra ity asti kathā skāndī | tad-anantaraṁ śrī-nārada-nirdeśena brahma-mīmāṁsāyā akṛtim abhāṣya-bhūtaṁ śrīmad-bhāgavatam āvribhāvayāmāsa | smaryate ca gāruḍe—artho’yaṁ brahma-sūtrāṇāṁ bhāratārtha-vinirṇayaḥ iti | athādhunā, “svalpaṁ tathāyur bahavaś ca vighnāḥ” iti dṛṣṭvā kali-yuge asmin yugocita-veda-vihita-devopāsanāṁ hitvā anyad eva yajana-yājanena vṛthāyuḥ-kṣapaṇenālam iti nirṇetuṁ maṅgalācaraṇa-prasaṅgāt sva-para-pakṣa-maṇḍana-khaṇḍanenāsmin kalau ekasyaiva śrī-gaurāṅga-mahāprabhu-kṛṣṇa-caitanya-devasya prādhānyenopāsyatvaṁ sakala-veda-sāra-bhūta-śrīmad-bhāgavata-padya-saṁvādena ādau ghoṣayati—kṛṣṇeti |",3
